Vendor SKU,Shape,Carat,Color,Fancy Color Description,Clarity,Cut,Depth,Table Percent,Polish,Crown Angle,Crown Height,Lower Half,Pavlilion Angle,Pavillion Depth,Star Length,Facet,Symmetry,Fluorescence,Measurements,Culet,Girdle,Cert Lab,Cert ID,Cert Lab 2,Cert ID 2,Vendor Price(Total),Vendor Price Per Carat,Memo Flag,Eye Clean,Milky,Brand,Inscription,Country Of Origin,Country of Manufacture ,Pic URL,Canada Mark,Rio Tinto,Comments
1020A,Round,0.56,F,,VS1,Excellent,61.5,59,Excellent,34.5,14.5,,41.2,,,,Excellent,None,5.30 - 5.27 x 3.25,None,Medium To Slightly Thick,GIA,6232649580,,,1744.008,3114.3,No,Yes,No,Regular,,ISR,ISR,,,,
1034A,Round,0.5,D,,VS2,Very Good,59.6,64,Excellent,33,12,,40.8,,,,Very Good,None,5.12 - 5.11 x 3.05,None,Slightly Thick To Thick,GIA,1179752612,,,1374.45,2748.9,No,Yes,No,Regular,,ISR,ISR,,,,
1036A,Round,0.52,D,,VS2,Excellent,61.3,59,Excellent,33,13.5,,41.8,,,,Excellent,None,5.21 - 5.19 x 3.19,None,Medium To Slightly Thick,GIA,6222408359,,,1660.386,3193.05,No,Yes,No,Regular,,ISR,ISR,,,,
1037A,Round,0.52,D,,VS2,Excellent,59.5,59,Excellent,34,13.5,,40.8,,,,Excellent,None,5.28 - 5.26 x 3.14,None,Thin To Medium,GIA,6211900534,,,1660.386,3193.05,No,Yes,No,Regular,,ISR,ISR,,,,
1039A,Round,0.5,D,,VS2,Excellent,60.7,59,Very Good,34.5,14,,41,,,,Excellent,Faint Blue,5.14 - 5.11 x 3.11,None,Medium To Slightly Thick,GIA,1185370652,,,1330.35,2660.7,No,Yes,No,Regular,,ISR,ISR,,,,
1040A,Round,0.55,D,,VS1,Excellent,59.8,61,Excellent,33,13,,41.4,,,,Excellent,None,5.35 - 5.32 x 3.19,None,Medium To Slightly Thick,GIA,2171625668,,,1873.41,3406.2,No,Yes,No,Regular,,ISR,ISR,,,,
1059A,Round,0.62,D,,VS2,Excellent,60.3,59,Excellent,33.5,13.5,,40.8,,,,Excellent,None,5.53 - 5.51 x 3.33,None,Medium To Slightly Thick,GIA,6202337598,,,2117.052,3414.6,No,Yes,No,Regular,,ISR,ISR,,,,
1060A,Round,0.6,D,,VS2,Excellent,61.3,59,Excellent,33,13.5,,41.4,,,,Excellent,None,5.44 - 5.42 x 3.33,None,Slightly Thick,GIA,6201878528,,,2048.76,3414.6,No,Yes,No,Regular,,ISR,ISR,,,,
1064A,Round,0.66,D,,VS1,Excellent,61.8,59,Excellent,35,14.5,,41.2,,,,Excellent,Faint Blue,5.58 - 5.56 x 3.44,None,Medium To Slightly Thick,GIA,5183802598,,,2345.112,3553.2,No,Yes,No,Regular,,ISR,ISR,,,,
1066A,Round,0.6,D,,VVS2,Excellent,59.8,59,Excellent,33,13,,41,,,,Excellent,None,5.51 - 5.48 x 3.29,None,Thin To Medium,GIA,5196205686,,,2289.42,3815.7,No,Yes,No,Regular,,ISR,ISR,,,,
1067A,Round,0.65,D,,VVS2,Excellent,61.5,59,Excellent,34.5,14.5,,41,,,,Excellent,None,5.57 - 5.56 x 3.42,None,Medium To Slightly Thick,GIA,5243081691,,,2618.07,4027.8,No,Yes,No,Regular,,ISR,ISR,,,,
1068B,Round,0.61,D,,VVS1,Excellent,59.7,60,Excellent,33,13,,41.2,,,,Excellent,None,5.53 - 5.51 x 3.30,None,Thin To Medium,GIA,6341537118,,,2939.2545,4818.45,No,Yes,No,Regular,,ISR,ISR,,,,
1069B,Round,0.61,D,,VVS1,Excellent,59.2,60,Excellent,32.5,12.5,,41,,,,Excellent,None,5.55 - 5.54 x 3.28,None,Medium,GIA,2348537109,,,2866.2375,4698.75,No,Yes,No,Regular,,ISR,ISR,,,,
1070A,Round,0.62,D,,IF,Excellent,62.3,58,Excellent,35.5,15,,41,,,,Excellent,None,5.47 - 5.45 x 3.40,None,Thin To Slightly Thick,GIA,17601264,,,3379.341,5450.55,No,Yes,No,Regular,,ISR,ISR,,,,
1095A,Round,0.78,F,,VS1,Very Good,61.3,57,Very Good,35,15,,40.4,,,,Very Good,None,5.93 - 5.90 x 3.63,None,Medium To Slightly Thick,GIA,1228565479,,,2925.468,3750.6,No,Yes,No,Regular,,ISR,ISR,,,,
1101A,Round,0.7,E,,VS2,Very Good,60.5,60,Excellent,33.5,13,,41,,,,Very Good,None,5.73 - 5.71 x 3.46,None,Medium To Thick,GIA,5213093173,,,2587.2,3696,No,Yes,No,Regular,,ISR,ISR,,,,
1102A,Round,0.7,E,,VS1,Excellent,61.1,61,Excellent,35,13.5,,41,,,,Very Good,None,5.72 - 5.69 x 3.49,None,Medium To Slightly Thick,GIA,2175033860,,,2698.185,3854.55,No,Yes,No,Regular,,ISR,ISR,,,,
1109A,Round,0.72,D,,IF,Excellent,59.7,59,Excellent,34,13.5,,41,,,,Excellent,Faint Blue,5.86 - 5.83 x 3.49,None,Thin To Medium,GIA,2121181864,,,4660.74,6473.25,No,Yes,No,Regular,,ISR,ISR,,,,
1110A,Round,0.8,F,,VS1,Very Good,59.8,57,Excellent,35,15,,40,,,,Very Good,None,6.02 - 5.97 x 3.58,None,Medium To Slightly Thick,GIA,1245603477,,,3265.08,4081.35,No,Yes,No,Regular,,ISR,ISR,,,,
1112A,Round,0.81,E,,VVS2,Excellent,61,62,Excellent,34,13,,41.4,,,,Excellent,None,5.99 - 5.97 x 3.65,None,Medium To Slightly Thick,GIA,5226077518,,,4044.978,4993.8,No,Yes,No,Regular,,ISR,ISR,,,,
