Jarrett Allen:21:29.49
Justin Anderson:12:7.92
Chris Chiozza:8:13.32
Jamal Crawford:17:9.5
Donta Hall:9:12.51
Joe Harris:16:23.79
Tyler Johnson:13:13.39
Rodions Kurucs:11:10.64
Caris LeVert:20:31.96
Timothe Luwawu-Cabarrot:11:12.74
Jeremiah Martin:7:14.0
Dzanan Musa:11:9.29
Garrett Temple:11:21.11
Lance Thomas:9:6.09
