Steven Adams:24:0
Darius Bazley:10:13.86
Deonte Burton:10:5.89
Hamidou Diallo:10:0
Luguentz Dort:11:12.91
Terrance Ferguson:12:8.68
Danilo Gallinari:24:28.87
Shai Gilgeous-Alexander:24:0
Devon Hall:7:5.26
Kevin Hervey:9:0
Mike Muscala:14:9.82
Abdel Nader:11:11.05
Nerlens Noel:18:20.96
Chris Paul:27:36.63
Andre Roberson:16:9.77
Dennis Schroder:21:29.48
