Jaylen Brown:25:33.38
Carsen Edwards:11:6.66
Tacko Fall:8:0
Javonte Green:13:0
Gordon Hayward:22:33.24
Enes Kanter:19:0
Romeo Langford:10:5.77
Semi Ojeleye:11:7.6
Vincent Poirier:13:0
Marcus Smart:20:29.49
Jayson Tatum:28:40.82
Daniel Theis:20:24.43
Kemba Walker:27:34.26
Brad Wanamaker:14:0
Tremont Waters:9:9.04
Robert Williams III:16:0
Grant Williams:11:10.15
