Bam Adebayo:26:40.29
Kyle Alexander:8:0
Jimmy Butler:28:41.78
Jae Crowder:15:24.7
Goran Dragic:21:27.71
Udonis Haslem:10:7.93
Tyler Herro:16:22.46
Solomon Hill:13:13.41
Andre Iguodala:16:16.43
Derrick Jones Jr.:18:19.16
Meyers Leonard:15:14.74
Kendrick Nunn:18:24.91
KZ Okpala:11:4.5
Kelly Olynyk:18:18.24
Duncan Robinson:17:20.64
Chris Silva:13:8.56
Gabe Vincent:8:0
