JJ Barea:17:0
Trey Burke:18:13.95
Antonius Cleveland:7:2.81
Seth Curry:20:19.25
Luka Doncic:36:52.81
Dorian Finney-Smith:16:21.38
Tim Hardaway Jr.:19:23.58
Justin Jackson:13:0
Michael Kidd-Gilchrist:12:6.78
Maxi Kleber:19:20.75
Courtney Lee:11:9.35
Boban Marjanovic:16:13.17
Kristaps Porzingis:26:41.07
Dwight Powell:19:21.72
Josh Reaves:7:0
Delon Wright:17:19.92
