DJ Augustin:17:20.31
Mohamed Bamba:19:16.81
Khem Birch:12:13.52
Michael Carter-Williams:17:18.31
Gary Clark:9:9.23
James Ennis:16:13.85
Evan Fournier:21:28.37
Melvin Frazier Jr.:10:4.45
Markelle Fultz:18:25.9
Aaron Gordon:20:31.87
Jonathan Isaac:22:32.27
Wesley Iwundu:12:12.22
BJ Johnson:8:5.55
Vic Law:9:4.59
Terrence Ross:18:23.74
Nikola Vucevic:25:41.46
