Goga Bitadze:14:0
Brian Bowen II:8:2.73
Malcolm Brogdon:23:33.02
Aaron Holiday:15:19.34
Justin Holiday:16:18.95
Alize Johnson:10:6.48
Jeremy Lamb:19:0
TJ Leaf:16:7.74
TJ McConnell:17:18.65
Doug McDermott:17:15.14
Naz Mitrou-Long:6:0
Victor Oladipo:23:24.47
Domantas Sabonis:25:41.91
JaKarr Sampson:12:0
Edmond Sumner:11:10.96
Myles Turner:19:28.94
TJ Warren:22:30.78
