Tony Bradley:16:12.95
Jarrell Brantley:7:0
Jordan Clarkson:20:22.47
Mike Conley:18:25.51
Ed Davis:13:8.64
Rudy Gobert:27:39.78
Joe Ingles:17:23.42
Donovan Mitchell:27:36.65
Juwan Morgan:8:3.94
Emmanuel Mudiay:16:13.82
Georges Niang:15:9.84
Royce O'Neale:13:19.7
Miye Oni:9:7.54
Rayjon Tucker:9:0
Nigel Williams-Goss:12:0
Justin Wright-Foreman:7:9.62
