Bruno Caboclo:12:8.77
DeMarre Carroll:15:8.85
Tyson Chandler:13:0
Chris Clemons:14:0
Robert Covington:20:29.69
Michael Frazier:8:3.31
Eric Gordon:19:20.87
Jeff Green:14:16.26
James Harden:37:57.14
Danuel House:16:21.57
Luc Mbah a Moute:14:4.13
Ben McLemore:15:15.82
Austin Rivers:15:16.21
PJ Tucker:16:20.98
Russell Westbrook:29:48.77
