OG Anunoby:19:24.29
Chris Boucher:18:16.18
Oshae Brissett:7:4.56
Terence Davis:19:15.04
Marc Gasol:17:0
Dewan Hernandez:8:5.88
Rondae Hollis-Jefferson:18:17.74
Serge Ibaka:21:29.38
Stanley Johnson:13:5.98
Kyle Lowry:25:39.17
Patrick McCaw:13:13.29
Malcolm Miller:9:3.13
Norman Powell:19:26.16
Pascal Siakam:29:40.04
Matt Thomas:14:7.93
Fred VanVleet:22:36.32
Paul Watson:7:7.54
