Will Barton:20:31.24
Keita Bates-Diop:12:13.58
Bol Bol:13:0
Vlatko Cancar:10:0
Tyler Cook:7:3.64
Torrey Craig:14:0
Troy Daniels:12:6.76
PJ Dozier:9:0
Jerami Grant:17:21.67
Gary Harris:16:20.78
Nikola Jokic:31:44.36
Paul Millsap:22:23.9
Monte Morris:18:0
Jamal Murray:24:32.63
Mason Plumlee:19:19.33
Michael Porter Jr.:21:18.16
Noah Vonleh:16:0
