Alec Burks:18:0
Joel Embiid:31:44.76
Tobias Harris:25:35.01
Al Horford:22:0
Furkan Korkmaz:16:0
Shake Milton:17:16.82
Raul Neto:13:0
Kyle OQuinn:14:0
Norvel Pelle:11:0
Josh Richardson:19:0
Glenn Robinson III:15:0
Mike Scott:13:0
Marial Shayok:7:5.22
Ben Simmons:28:0
Matisse Thybulle:17:14.21
