Kostas Antetokounmpo:9:2.52
Devontae Cacok:9:0
Kentavious Caldwell-Pope:15:16.42
Alex Caruso:15:13.96
Quinn Cook:13:8.36
Anthony Davis:36:50.94
Jared Dudley:12:4.85
Danny Green:16:18.26
Talen Horton-Tucker:10:12.07
Dwight Howard:21:20.85
LeBron James:37:51.27
Kyle Kuzma:16:21.32
JaVale McGee:20:19.18
Markieff Morris:15:17.33
Rajon Rondo:17:0
JR Smith:15:4.42
Dion Waiters:16:18.38
