Giannis Antetokounmpo:37:56.61
Thanasis Antetokounmpo:10:6.07
Eric Bledsoe:23:30.2
Sterling Brown:11:0
Pat Connaughton:14:14.59
Donte DiVincenzo:20:21.93
George Hill:19:19.24
Ersan Ilyasova:16:14.9
Kyle Korver:13:12.08
Brook Lopez:19:27.84
Robin Lopez:14:0
Frank Mason:11:15.03
Wesley Matthews:15:13.87
Khris Middleton:27:35.42
Marvin Williams:15:14.1
DJ Wilson:10:7.73
